Academic_Score,Score_on_Plays_Made,Missed_Play_Score,Injury_Propensity,School_Type,School_Score,Overall_Score,Region,Scholarship
5.2,0.37,0.33,Low,B,0.38,11.7,Eastern,Partial
8.4,0.19,0.43,Low,C,0.46,9.5,Southern,Full
8.3,0.21,0.41,Low,C,0.45,9.5,Southern,Partial
6.8,0.15,0.32,Moderate,C,0.4,8.8,Eastern,Full
7.9,0.16,0.64,High,A,0.51,9.3,Western,Partial
9,0.24,0.5,Low,B,0.34,12.4,Eastern,Partial
5.7,0.21,0.24,Low,C,0.72,10.1,Eastern,Full
6.7,0.18,0.3,Moderate,C,0.52,10,Southern,Partial
6.7,0.18,0.3,Moderate,C,0.52,10,Southern,Partial
8.4,0.58,0.27,High,C,0.39,10.8,Eastern,Partial
7.2,0.16,0.32,Low,B,0.33,10,Eastern,Full
7.6,0.54,0.23,Low,C,0.33,10.4,Southern,Partial
8.4,0.58,0.27,High,C,0.39,10.8,Eastern,Partial
6.6,0.25,0.31,High,D,0.47,9.8,Eastern,Full
7,0.46,0.39,Moderate,C,0.35,12.2,Western,Partial
8.2,0.35,0.4,Moderate,C,0.34,11.9,Western,Partial
9.2,0.35,0.39,Low,B,0.28,10.4,Western,Partial
8,0.57,0.39,Normal,B,0.67,12.8,Western,Partial
6.5,0.37,0.33,Normal,B,0.39,12.7,Western,Full
5.7,0.21,0.24,Low,C,0.72,10.1,Eastern,Partial
6.7,0.18,0.3,Moderate,C,0.52,10,Southern,Partial
7.8,0.13,0.3,Low,C,0.41,9,Southern,Partial
7.6,0.19,0.41,Low,B,0.42,11.4,Southern,Partial
7.3,0.22,0.41,High,A,0.59,8.9,Eastern,Partial
6.3,0.29,0.4,Moderate,C,0.44,9.3,Eastern,Partial
6.5,0.19,0.32,Low,B,0.54,10.8,Western,Partial
6.2,0.12,0.26,Normal,C,0.37,10.5,Eastern,Partial
6,0.13,0.28,Normal,C,0.43,10.6,Western,Partial
6.4,0.25,0.33,Low,B,0.48,11.3,Western,Partial
6.9,0.32,0.16,Low,C,0.38,9.5,Western,Partial
7.6,0.19,0.41,Low,B,0.42,11.4,Southern,Partial
6.7,0.13,0.28,Low,C,0.33,10.1,Western,Full
7,0.14,0.41,Low,B,0.43,10.9,Eastern,Partial
7.6,0.27,0.24,Normal,C,0.45,8.9,Southern,Partial
7.3,0.22,0.41,High,A,0.59,8.9,Eastern,Partial
7.4,0.64,0.47,High,D,0.49,9.3,Southern,Partial
7.6,0.28,0.39,Low,C,0.4,10.4,Eastern,Partial
8.3,0.26,0.41,Moderate,C,0.38,12,Western,Partial
10.7,0.22,0.56,Moderate,D,0.68,9.5,Eastern,Partial
10.7,0.22,0.56,Moderate,D,0.68,9.5,Eastern,Partial
6.9,0.23,0.34,Normal,B,0.38,12.4,Western,Partial
6.2,0.3,0.32,Low,B,0.41,11.2,Western,Partial
6.9,0.27,0.41,Low,C,0.69,11.4,Eastern,Partial
6.9,0.28,0.41,Low,C,0.71,11.4,Eastern,Partial
6.9,0.28,0.3,Low,B,0.38,11.1,Western,Partial
6.9,0.46,0.2,Low,B,0.42,10.4,Eastern,Partial
6.9,0.38,0.32,Moderate,C,0.35,12,Western,Partial
5.7,0.43,0.3,Normal,B,0.61,12.3,Western,Partial
6.6,0.56,0.16,Normal,C,0.35,9.1,Eastern,Partial
7.1,0.36,0.56,Low,B,0.33,10.5,Eastern,Partial
6.8,0.23,0.4,Low,C,0.7,11.4,Eastern,Partial
6.2,0.33,0.29,Low,C,0.64,9.5,Southern,Partial
5.6,0.49,0.13,Normal,B,0.9,13.7,Western,Partial
6.6,0.42,0.33,Normal,B,0.51,13.4,Eastern,Partial
7.3,0.18,0.29,Low,B,0.48,11.3,Western,Partial
8.1,0.19,0.4,Low,C,0.34,10,Eastern,Partial
5.9,0.19,0.26,Moderate,C,0.42,10.1,Eastern,Partial
6.2,0.16,0.47,Low,B,0.42,12.2,Eastern,Partial
6.6,0.42,0.33,Normal,B,0.51,13.4,Eastern,Partial
5.7,0.135,0.3,Normal,C,0.42,9.3,Eastern,Partial
5.6,0.49,0.13,Normal,B,0.9,13.7,Western,Partial
6.9,0.19,0.33,Low,B,0.46,12.3,Western,Partial
7.3,0.18,0.29,Low,B,0.48,11.3,Western,Partial
7.3,0.25,0.36,High,D,0.46,8.9,Western,Partial
7.3,0.25,0.36,High,D,0.46,8.9,Western,Partial
7,0.2,0.34,Normal,C,0.46,11.5,Eastern,Partial
7.3,0.25,0.36,High,D,0.46,8.9,Western,Partial
6.3,0.67,0.48,High,D,0.52,9.3,Eastern,Partial
9,0.31,0.48,Moderate,C,0.38,11.6,Southern,Partial
6.3,0.39,0.24,Moderate,C,0.35,10.2,Western,Partial
7.1,0.19,0.28,Normal,C,0.78,11.4,Eastern,Partial
7.3,0.25,0.36,High,D,0.46,8.9,Western,Partial
7.9,0.2,0.34,Low,C,0.41,10.6,Eastern,Partial
7.1,0.26,0.32,Normal,C,0.4,11.6,Eastern,Full
7,0.2,0.34,Normal,C,0.46,11.5,Eastern,Partial
8.1,0.29,0.49,Moderate,C,0.41,10.8,Eastern,Partial
5.8,0.17,0.3,Low,B,0.38,11.3,Eastern,Partial
5.9,0.415,0.02,Low,C,0.36,9.3,Southern,Partial
6.6,0.23,0.26,Low,C,0.6,10,Eastern,Partial
6.9,0.35,0.74,Low,B,0.55,10.2,Southern,Partial
7.6,0.14,0.74,Low,B,0.4,10.8,Western,Partial
9.2,0.28,0.49,High,D,0.34,10.1,Western,Full
6.2,0.18,0.49,Normal,B,0.37,11.6,Eastern,Partial
5.3,0.165,0.24,Low,B,0.47,9.1,Southern,Partial
9.8,0.25,0.74,High,D,0.43,10,Western,Partial
8.1,0.29,0.49,Moderate,C,0.41,10.8,Eastern,Partial
6.8,0.22,0.49,Low,B,0.35,11.4,Eastern,Partial
7.2,0.22,0.49,Low,B,0.34,12.7,Eastern,Partial
7.4,0.25,0.49,Low,B,0.55,11.3,Southern,Full
8.2,0.18,0.49,Low,B,0.68,10.4,Western,Partial
6.1,0.22,0.49,Low,C,0.46,9.6,Southern,Partial
7,0.39,0.24,Low,B,0.31,10.1,Western,Partial
6.1,0.22,0.49,Low,C,0.46,9.6,Southern,Full
6.5,0.36,0.49,Normal,B,0.49,12.1,Western,Partial
7.1,0.29,0.49,Low,B,0.33,12.2,Eastern,Full
7.4,0.25,0.49,Low,B,0.55,11.3,Southern,Partial
6.9,0.23,0.24,High,D,0.5,9.6,Southern,Partial
8.5,0.56,0.74,High,A,0.7,9.2,Southern,Partial
8.2,0.18,0.49,Low,B,0.68,10.4,Western,Partial
6.3,0.23,0.49,Moderate,C,0.34,9.5,Southern,Partial
6.1,0.25,0.49,Moderate,C,0.47,8.9,Southern,Partial
7.2,0.26,0.74,High,D,0.44,8.8,Southern,Partial
7.2,0.31,0.24,Low,C,0.35,10.5,Southern,Partial
8,0.25,0.49,Low,C,0.34,9.4,Southern,Partial
7,0.18,0.49,Normal,B,0.4,12.2,Eastern,Partial
7.8,0.43,0.49,High,C,0.35,11.3,Eastern,Partial
8.3,0.2,0.74,Normal,B,0.42,12.2,Eastern,Partial
6.3,0.27,0.49,Low,B,0.42,12.2,Eastern,Partial
7.4,0.16,0.49,Low,B,0.47,11.2,Eastern,Partial
7.4,0.16,0.49,Low,B,0.47,11.2,Eastern,Partial
6.9,0.19,0.49,Moderate,C,0.27,11.5,Eastern,Partial
7.8,0.43,0.49,High,C,0.35,11.3,Eastern,Partial
7.2,0.4,0.49,Low,C,0.42,9.3,Southern,Partial
7.8,0.43,0.49,High,C,0.35,11.3,Eastern,Partial
7.6,0.52,0.49,High,C,0.38,11.8,Western,Partial
8.3,0.21,0.49,High,A,0.54,9.2,Southern,Partial
6.9,0.34,0.74,High,C,0.81,9.2,Southern,Partial
6.3,0.27,0.49,Low,B,0.42,12.2,Eastern,Full
8.3,0.2,0.74,Normal,B,0.42,12.2,Eastern,Full
7.1,0.22,0.74,Normal,B,0.41,12.2,Eastern,Partial
7.9,0.11,0.49,Normal,C,0.42,10.6,Eastern,Partial
8.5,0.17,0.74,Normal,C,0.4,12.4,Eastern,Partial
6.4,0.145,0.49,Normal,C,0.44,10.8,Eastern,Partial
7.4,0.16,0.49,Low,B,0.47,11.2,Eastern,Full
8.3,0.19,0.49,Low,B,0.46,11,Eastern,Full
7,0.2,0.74,Low,C,0.53,10.2,Southern,Partial
6.9,0.19,0.49,Moderate,C,0.27,11.5,Eastern,Partial
7.1,0.25,0.49,Normal,B,0.39,12.3,Western,Partial
6.5,0.24,0.24,Low,C,0.39,9.8,Southern,Partial
7.2,0.4,0.49,Low,C,0.42,9.3,Southern,Partial
7.6,0.52,0.49,High,C,0.38,11.8,Western,Partial
7.8,0.43,0.49,High,C,0.35,11.3,Eastern,Partial
7.8,0.21,0.49,Low,B,0.28,11.4,Southern,Full
7,0.2,0.49,Normal,C,0.48,10.8,Eastern,Partial
6.9,0.25,0.24,Normal,C,0.48,9.5,Western,Partial
7.2,0.08,0.49,Low,C,0.44,10.2,Eastern,Partial
7.1,0.85,0.49,Moderate,C,0.36,10.7,Southern,Partial
7.6,0.51,0.24,Low,B,0.29,10.8,Eastern,Partial
7.9,0.22,0.24,Normal,C,0.28,11.5,Eastern,Partial
7.7,0.16,0.49,Low,C,0.49,10.7,Eastern,Full
7.2,0.08,0.49,Low,C,0.44,10.2,Eastern,Partial
6.6,0.25,0.24,Low,C,0.6,10.1,Eastern,Partial
6.7,0.16,0.49,Low,C,0.81,10.4,Eastern,Partial
6.9,0.25,0.24,Normal,C,0.48,9.5,Western,Full
7.4,0.28,0.49,Low,B,0.39,10.6,Eastern,Partial
6.2,0.15,0.49,Low,C,0.7,9.4,Eastern,Partial
6.7,0.25,0.74,High,A,0.45,9.8,Eastern,Partial
6.5,0.26,0.74,High,C,0.54,9.5,Eastern,Full
7.9,0.16,0.74,High,D,0.41,9.3,Southern,Partial
5.6,0.185,0.49,Low,B,0.45,10.3,Eastern,Partial
7.5,0.2,0.49,Low,B,0.62,11.1,Southern,Partial
8,0.3,0.49,Moderate,C,0.48,10,Southern,Partial
7.6,0.29,0.49,Moderate,C,0.38,12.3,Western,Partial
6.7,0.62,0.24,Low,C,0.32,10.4,Southern,Full
6.8,0.27,0.49,Low,B,0.48,12.1,Western,Full
7.7,0.27,0.49,Low,B,0.42,12.5,Eastern,Partial
6.7,0.51,0.24,Low,B,0.6,13,Eastern,Partial
7.4,0.19,0.49,Moderate,C,0.32,11,Western,Partial
8.3,0.2,0.49,Low,C,0.37,10.1,Southern,Partial
6.6,0.3,0.24,Low,C,0.36,9.2,Southern,Partial
6.8,0.36,0.24,Normal,B,0.34,12.6,Western,Partial
9.2,0.18,0.49,Low,C,0.49,9.8,Western,Partial
8.1,0.2,0.49,Moderate,C,0.52,11,Eastern,Partial
7.8,0.26,0.74,Moderate,C,0.64,10,Eastern,Partial
6.8,0.21,0.49,High,D,0.44,9.8,Eastern,Full
7.9,0.2,0.49,Low,C,0.47,10.5,Southern,Partial
8,0.18,0.49,Low,C,0.48,10,Southern,Partial
8.8,0.23,0.74,Normal,C,0.51,11.2,Eastern,Partial
7.3,0.22,0.49,Moderate,C,0.32,11,Western,Partial
7.3,0.22,0.49,Moderate,C,0.28,11.2,Eastern,Partial
7.4,0.19,0.49,Moderate,C,0.32,11,Western,Partial
7.3,0.155,0.49,Low,C,0.77,10.5,Eastern,Partial
8.2,0.22,0.49,Moderate,C,0.33,10.6,Eastern,Full
8.2,0.24,0.49,Moderate,C,0.33,10.6,Eastern,Full
8.4,0.23,0.49,Moderate,C,0.34,12,Eastern,Partial
8.3,0.2,0.49,Low,C,0.37,10.1,Southern,Partial
8.3,0.2,0.49,Low,C,0.37,10.1,Eastern,Full
6.6,0.3,0.24,Low,C,0.36,9.2,Southern,Partial
6.9,0.21,0.49,Low,C,0.63,11,Southern,Partial
8,0.25,0.49,Moderate,D,0.49,10,Eastern,Partial
6.6,0.21,0.49,High,D,0.39,8.7,Eastern,Partial
7.2,0.27,0.74,High,D,0.44,8.7,Southern,Partial
14.2,0.27,0.49,Low,B,0.54,11.1,Eastern,Full
7.9,0.28,0.49,Moderate,C,0.55,11,Eastern,Partial
7.4,0.27,0.49,Low,B,0.54,11.1,Eastern,Partial
6.6,0.21,0.49,High,D,0.39,8.7,Eastern,Partial
7.2,0.27,0.74,High,D,0.44,8.7,Southern,Partial
8.1,0.3,0.49,Moderate,C,0.3,11.2,Western,Partial
7.5,0.23,0.49,Moderate,C,0.3,11.1,Western,Partial
7.3,0.26,0.49,Normal,C,0.54,10.8,Eastern,Partial
7.1,0.18,0.74,High,D,0.67,9,Eastern,Partial
8.5,0.15,0.49,Low,C,0.4,10.3,Eastern,Partial
8.9,0.13,0.49,Low,C,0.32,9.9,Southern,Partial
8.1,0.28,0.49,Low,C,0.41,10,Eastern,Partial
6,0.17,0.49,Low,B,0.42,9.8,Eastern,Partial
7.3,0.26,0.49,Normal,C,0.54,10.8,Eastern,Partial
7.1,0.18,0.74,High,D,0.67,9,Eastern,Full
7.1,0.53,0.24,Low,C,0.32,9.1,Western,Partial
7.2,0.16,0.49,Low,B,0.57,10.6,Eastern,Partial
7.3,0.14,0.49,Low,C,0.72,10.6,Eastern,Full
8.9,0.13,0.49,Low,C,0.32,9.9,Southern,Partial
7.9,0.12,0.49,Normal,C,0.47,10.6,Eastern,Partial
6.7,0.29,0.49,Normal,C,0.45,9.9,Eastern,Partial
6.7,0.3,0.49,Normal,C,0.45,9.9,Eastern,Partial
7.1,0.36,0.24,Low,B,0.59,12.8,Eastern,Partial
8.5,0.15,0.49,Low,C,0.4,10.3,Eastern,Partial
7.9,0.18,0.49,Normal,C,0.48,10.6,Eastern,Partial
6.6,0.19,0.99,Low,C,0.31,8.7,Eastern,Partial
7.3,0.21,0.49,Low,B,0.44,12.6,Western,Partial
6.9,0.3,0.49,Moderate,C,0.63,11,Western,Partial
7.9,0.42,0.49,Moderate,C,0.6,11.2,Western,Partial
6.9,0.24,0.49,Low,C,0.57,10.7,Western,Partial
7.6,0.23,0.49,High,C,0.58,9.6,Eastern,Partial
7.9,0.18,0.49,Normal,C,0.48,10.6,Eastern,Full
6.2,0.43,0.49,Moderate,C,0.57,9,Western,Full
8.8,0.35,0.49,Low,B,0.33,10.5,Western,Partial
7.8,0.3,0.74,Low,B,0.52,12.8,Eastern,Partial
9.1,0.28,0.49,Low,C,0.46,10.1,Southern,Partial
7.1,0.34,0.49,Low,B,0.33,12.2,Western,Partial
7.8,0.3,0.74,Low,B,0.52,12.8,Eastern,Partial
9.1,0.28,0.49,Low,C,0.46,10.1,Southern,Partial
8.5,0.19,0.49,Normal,C,0.51,10.1,Eastern,Partial
7.6,0.18,0.49,High,D,0.41,9.2,Southern,Full
7.5,0.19,0.49,Low,C,0.44,9.9,Southern,Partial
7.4,0.3,0.49,Moderate,C,0.58,9.7,Eastern,Full
6.7,0.3,0.74,Normal,C,0.46,9.9,Southern,Partial
6.6,0.3,0.74,Normal,C,0.45,9.9,Southern,Partial
7.4,0.3,0.49,Moderate,C,0.58,9.7,Eastern,Partial
6.9,0.22,0.49,Moderate,C,0.5,10.3,Eastern,Partial
7.8,0.26,0.49,Normal,C,0.35,10.3,Southern,Partial
8.5,0.17,0.49,Moderate,C,0.34,10.5,Western,Partial
6.8,0.17,0.74,Low,C,0.76,10.5,Eastern,Partial
6.2,0.27,0.49,Low,C,0.44,9.8,Eastern,Partial
7.1,0.64,0.49,Low,C,0.58,10.6,Western,Partial
6.4,0.18,0.74,High,D,0.68,10.1,Southern,Full
7.6,0.31,0.49,High,D,0.53,9,Western,Partial
9.8,0.31,0.49,High,A,0.45,9.5,Southern,Full
9,0.3,0.49,Moderate,C,0.32,11.5,Eastern,Partial
8.4,0.24,0.49,Moderate,C,0.33,11.9,Western,Partial
6.4,0.18,0.74,High,D,0.68,10.1,Southern,Partial
6.4,0.25,0.74,Moderate,C,0.42,9.2,Eastern,Partial
7.3,0.3,0.74,High,D,0.4,8.7,Southern,Partial
9.3,0.31,0.49,Low,C,0.46,9.8,Southern,Partial
6.4,0.25,0.74,Moderate,C,0.42,9.2,Eastern,Full
7.3,0.3,0.74,High,D,0.4,8.7,Southern,Full
7,0.27,0.74,Low,C,0.48,11.2,Eastern,Partial
7.9,0.14,0.74,Low,B,0.82,12.3,Eastern,Partial
6.4,0.12,0.49,Moderate,C,0.44,10.4,Eastern,Partial
6.8,0.21,0.74,Low,B,0.41,10.7,Eastern,Partial
8.6,0.16,0.49,Moderate,C,0.59,10.5,Eastern,Partial
7,0.29,0.49,Normal,C,0.4,9.4,Eastern,Partial
6.4,0.27,0.49,Moderate,C,0.43,9.2,Eastern,Partial
6.6,0.55,0.01,Normal,B,0.3,11.9,Southern,Partial
6.4,0.27,0.49,Moderate,C,0.43,9.2,Eastern,Partial
6.3,0.24,0.74,Low,C,0.39,9.9,Eastern,Partial
6.7,0.33,0.49,Low,B,0.5,11.4,Eastern,Partial
7,0.29,0.49,Normal,C,0.4,9.4,Eastern,Partial
8.2,0.34,0.49,Moderate,C,0.52,10.7,Eastern,Partial
5.6,0.39,0.24,Normal,B,0.36,12.7,Southern,Partial
5.6,0.41,0.24,Low,B,0.5,13.5,Western,Partial
6.7,0.41,0.01,Normal,C,0.35,9.5,Southern,Full
7.5,0.32,0.49,Low,B,0.46,12.5,Eastern,Partial
5.8,0.19,0.49,Normal,C,0.38,9.5,Western,Partial
6.9,0.27,0.49,High,A,0.47,8.6,Southern,Partial
8.1,0.2,0.49,High,C,0.46,10,Western,Partial
7.5,0.32,0.49,Low,B,0.46,12.5,Eastern,Partial
8.2,0.26,0.49,Normal,C,0.34,10.1,Eastern,Partial
7.8,0.26,0.49,Normal,B,0.32,11.3,Western,Full
8,0.14,0.49,Low,C,0.4,10.6,Western,Partial
8,0.29,0.49,High,C,0.34,10.8,Southern,Partial
7.5,0.19,0.49,Low,C,0.47,10.7,Eastern,Partial
6.9,0.34,0.49,Moderate,C,0.4,9,Eastern,Partial
6.2,0.2,0.49,Low,C,0.52,9.2,Eastern,Partial
6.4,0.37,0.49,High,D,0.48,8.5,Eastern,Partial
7.8,0.26,0.49,Normal,B,0.32,11.3,Western,Partial
8.9,0.32,0.49,Low,C,0.34,9.4,Southern,Partial
6.5,0.44,0.49,Moderate,C,0.37,8.7,Eastern,Partial
7,0.14,0.49,Normal,C,0.36,9.4,Eastern,Partial
9,0.17,0.49,Low,C,0.51,10.5,Western,Partial
6.4,0.26,0.49,Moderate,C,0.53,9.7,Eastern,Partial
9,0.22,0.49,High,D,0.44,10.2,Eastern,Partial
8.9,0.32,0.49,Low,C,0.34,9.4,Southern,Partial
8.2,0.2,0.49,Normal,C,0.35,11.5,Eastern,Partial
7.8,0.15,0.24,Moderate,C,0.31,9.6,Eastern,Partial
6.9,0.25,0.24,Low,C,0.7,11.4,Southern,Partial
8.2,0.2,0.49,Normal,C,0.35,11.5,Eastern,Partial
7.4,0.19,0.49,Moderate,C,0.38,11,Western,Partial
8.3,0.25,0.49,High,A,0.52,9.2,Eastern,Partial
7.5,0.14,0.74,Low,C,0.45,10.2,Eastern,Partial
7.8,0.49,0.49,Moderate,C,0.33,10,Southern,Partial
8.1,0.12,0.49,Low,C,0.48,9.7,Eastern,Partial
7.6,0.47,0.49,High,D,0.51,9.2,Southern,Partial
7.9,0.22,0.49,Normal,C,0.39,10.5,Southern,Partial
7.8,0.49,0.49,Moderate,C,0.33,10,Southern,Partial
6.4,0.22,0.49,Moderate,C,0.52,10.1,Eastern,Partial
7.3,0.19,0.49,High,D,0.36,9.1,Western,Partial
8.1,0.3,0.49,High,C,0.57,10.2,Western,Partial
7.3,0.19,0.49,High,D,0.36,9.1,Western,Partial
7.5,0.24,0.49,Moderate,C,0.59,10.5,Western,Partial
6.4,0.22,0.49,Moderate,C,0.52,10.1,Eastern,Partial
7.8,0.21,0.49,Low,B,0.28,12.1,Western,Partial
7.1,0.3,0.49,Low,C,0.59,10.2,Southern,Partial
6.9,0.26,0.49,Low,C,0.52,9.4,Western,Partial
7.6,0.31,0.49,Normal,B,0.67,12.8,Western,Partial
6.4,0.42,0.74,High,D,0.58,9,Eastern,Partial
8.2,0.29,0.49,Low,C,0.36,10.9,Western,Partial
7.9,0.33,0.28,High,A,0.38,8.8,Eastern,Partial
6.6,0.46,0.49,Moderate,C,0.38,9,Southern,Partial
7.8,0.28,0.49,Low,C,0.59,10.2,Southern,Full
5.8,0.15,0.49,Low,C,0.48,9.2,Southern,Partial
7.8,0.4,0.49,Moderate,C,0.58,11.3,Eastern,Partial
6.6,0.31,0.49,Moderate,C,0.45,8.8,Southern,Partial
6.6,0.325,0.49,Moderate,C,0.4,9.3,Southern,Full
6.6,0.27,0.49,Moderate,C,0.45,9.4,Eastern,Partial
6.7,0.26,0.49,Moderate,C,0.4,10.3,Eastern,Full
6.7,0.21,0.49,Low,B,0.42,10.8,Western,Partial
7.9,0.33,0.28,High,A,0.38,8.8,Eastern,Partial
8.1,0.28,0.46,High,A,0.58,9,Western,Partial
7.8,0.445,0.56,Low,C,0.43,10.8,Southern,Partial
8.8,0.39,0.34,Normal,C,0.51,11.8,Eastern,Partial
7.9,0.18,0.33,Low,B,0.38,10.5,Western,Partial
7.1,0.31,0.38,Low,B,0.44,9.9,Eastern,Partial
7.8,0.24,0.18,Moderate,C,0.56,9.8,Eastern,Partial
7,0.35,0.3,Moderate,C,0.42,11.4,Western,Partial
6.6,0.26,0.31,Normal,C,0.38,9.3,Southern,Full
6.6,0.27,0.31,Normal,C,0.38,9.3,Southern,Full
6.8,0.22,0.29,Moderate,C,0.44,10.3,Eastern,Partial
6.2,0.27,0.32,Moderate,C,0.47,8.9,Southern,Full
7,0.35,0.3,Moderate,C,0.42,11.4,Western,Partial
7.3,0.23,0.37,Low,B,0.35,11.1,Eastern,Partial
6.2,0.3,0.2,Moderate,C,0.45,10.4,Eastern,Partial
6.4,0.35,0.2,Normal,C,0.43,10.1,Southern,Partial
7.6,0.32,0.34,High,A,0.55,9,Southern,Partial
6.3,0.31,0.3,High,C,0.55,11.9,Eastern,Partial
7.2,0.25,0.28,High,D,0.38,9,Western,Partial
7.2,0.25,0.28,High,D,0.38,9,Western,Partial
7.3,0.26,0.33,High,A,0.44,9.1,Western,Partial
7.2,0.25,0.28,High,D,0.38,9,Western,Partial
7.4,0.26,0.37,Moderate,D,0.72,10,Southern,Partial
7.3,0.26,0.33,High,A,0.44,9.1,Western,Partial
7.1,0.16,0.25,Low,B,0.55,11.4,Eastern,Partial
9,0.43,0.3,Low,C,0.45,9.7,Western,Partial
7.2,0.25,0.28,High,D,0.38,9,Western,Full
7,0.24,0.3,Normal,C,0.49,11.8,Eastern,Partial
6.7,0.265,0.22,Moderate,C,0.41,10.2,Southern,Partial
7.7,0.12,0.32,Low,C,0.42,9.2,Eastern,Full
7.2,0.21,0.33,Normal,C,0.4,11,Eastern,Partial
8.5,0.32,0.36,High,D,0.31,10,Eastern,Full
6.9,0.18,0.3,Low,B,0.37,12.2,Eastern,Partial
7,0.24,0.3,Normal,C,0.49,11.8,Eastern,Partial
6.3,0.26,0.29,Low,B,0.43,11.6,Eastern,Partial
6.7,0.26,0.3,Low,C,0.61,10.2,Eastern,Partial
7.9,0.29,0.36,High,C,0.46,10.3,Southern,Partial
6.5,0.27,0.19,Normal,C,0.35,8.6,Western,Partial
6.7,0.33,0.42,Moderate,C,0.44,9.6,Southern,Partial
6.7,0.31,0.42,Moderate,C,0.45,9.6,Southern,Partial
6.6,0.25,0.31,Low,B,0.47,11.3,Eastern,Partial
6.4,0.24,0.22,Low,C,0.55,9.9,Eastern,Full
6.8,0.26,0.29,High,D,0.4,9.6,Southern,Partial
7,0.61,0.26,Low,C,0.6,10.6,Western,Partial
6.8,0.22,0.3,High,D,0.39,9.8,Southern,Full
8.1,0.31,0.24,Low,B,0.47,10.5,Southern,Partial
7,0.2,0.3,Moderate,C,0.51,10.8,Southern,Full
7.9,0.18,0.37,Normal,C,0.51,10,Eastern,Partial
6.6,0.34,0.27,Moderate,C,0.49,10.1,Eastern,Partial
6.8,0.3,0.24,Moderate,C,0.48,9.4,Southern,Partial
7,0.21,0.31,Moderate,C,0.5,10.8,Eastern,Partial
6.8,0.27,0.32,Low,B,0.43,9.9,Eastern,Partial
9.3,0.2,0.33,Low,C,0.43,9,Western,Partial
5.8,0.23,0.27,Low,C,0.31,9.4,Eastern,Partial
7.6,0.2,0.39,Normal,C,0.44,10.8,Western,Full
8.2,0.15,0.48,Normal,C,0.45,10.9,Western,Partial
7.5,0.4,1,High,D,0.38,12,Eastern,Partial
7,0.13,0.3,Normal,C,0.42,10.5,Eastern,Partial
6.9,0.17,0.22,Normal,C,0.37,9.3,Eastern,Partial
7,0.3,0.32,Moderate,B,0.44,11.8,Eastern,Partial
7.6,0.445,0.44,High,D,0.36,10,Eastern,Full
6.8,0.3,0.24,Moderate,C,0.48,9.4,Southern,Partial
7.5,0.22,0.33,Moderate,C,0.68,11.4,Eastern,Partial
9.2,0.23,0.3,Low,C,0.3,10.4,Eastern,Partial
8.7,0.34,0.46,High,D,0.37,9.5,Eastern,Partial
6.6,0.545,0.04,Normal,B,0.32,11.9,Southern,Partial
8.1,0.3,0.31,Low,B,0.45,11.1,Eastern,Partial
6.9,0.16,0.3,Moderate,D,0.38,9.6,Eastern,Partial
8,0.32,0.36,Normal,C,0.47,12,Eastern,Full
6.1,0.22,0.23,Normal,C,0.42,8.7,Southern,Partial
6.9,0.16,0.3,Moderate,D,0.38,9.6,Eastern,Partial
7.5,0.15,0.38,Low,C,0.44,10,Southern,Partial
8.4,0.29,0.29,Low,B,0.32,11.4,Western,Partial
6.6,0.37,0.47,Moderate,C,0.45,9.6,Eastern,Partial
7.7,0.38,0.4,Low,B,0.32,12.9,Eastern,Partial
6.3,0.25,0.23,High,C,0.35,9.7,Eastern,Partial
8.3,0.3,0.36,High,D,0.51,9.3,Eastern,Partial
6.6,0.22,0.58,Low,C,0.3,9.1,Southern,Partial
6.1,0.34,0.31,High,D,0.48,8.6,Southern,Full
7.5,0.22,0.29,Normal,C,0.42,9.9,Southern,Partial
8.3,0.3,0.36,High,D,0.51,9.3,Eastern,Partial
8,0.27,0.24,Low,C,0.42,10.9,Southern,Partial
6.1,0.17,0.27,Low,B,0.43,10.2,Eastern,Full
7.4,0.18,0.3,High,C,0.57,9.7,Eastern,Partial
6.7,0.16,0.28,Normal,B,0.51,11.4,Western,Partial
6.1,0.255,0.44,High,C,0.54,9.5,Eastern,Partial
7.4,0.23,0.25,Low,C,0.54,10.2,Western,Partial
6.4,0.16,0.28,Low,B,0.43,11.1,Eastern,Partial
6.3,0.25,0.23,High,C,0.35,9.7,Eastern,Partial
6.7,0.27,0.25,Moderate,C,0.43,9.3,Southern,Full
6.9,0.29,0.23,Moderate,C,0.44,8.8,Southern,Partial
9.6,0.21,0.28,Low,C,0.46,10.6,Southern,Full
6.6,0.62,0.2,Moderate,C,0.44,9.3,Southern,Partial
6.4,0.28,0.19,Normal,C,0.35,10.2,Eastern,Partial
8,0.3,0.28,Normal,C,0.51,10.2,Eastern,Full
6.4,0.17,0.27,Low,B,0.42,11,Western,Partial
7.3,0.21,0.3,High,C,0.5,9.6,Eastern,Partial
6.7,0.27,0.25,Moderate,C,0.43,9.3,Southern,Full
6.9,0.29,0.23,Moderate,C,0.44,8.8,Southern,Partial
6.6,0.32,0.26,Moderate,C,0.45,8.8,Southern,Partial
7.4,0.32,0.22,Low,C,0.69,8.9,Southern,Partial
6.6,0.37,0.07,Low,B,0.38,10,Southern,Full
7.7,0.43,0.28,Normal,B,0.56,12.2,Western,Partial
7.8,0.39,0.26,Moderate,C,0.42,10.9,Eastern,Partial
